,Junction,Vehicles,Year,Month,Date_no,Hour,Day
0,1,15,2015,11,1,0,Sunday
1,1,13,2015,11,1,1,Sunday
2,1,10,2015,11,1,2,Sunday
3,1,7,2015,11,1,3,Sunday
4,1,9,2015,11,1,4,Sunday
5,1,6,2015,11,1,5,Sunday
6,1,9,2015,11,1,6,Sunday
7,1,8,2015,11,1,7,Sunday
8,1,11,2015,11,1,8,Sunday
9,1,12,2015,11,1,9,Sunday
10,1,15,2015,11,1,10,Sunday
11,1,17,2015,11,1,11,Sunday
12,1,16,2015,11,1,12,Sunday
13,1,15,2015,11,1,13,Sunday
14,1,16,2015,11,1,14,Sunday
15,1,12,2015,11,1,15,Sunday
16,1,12,2015,11,1,16,Sunday
17,1,16,2015,11,1,17,Sunday
18,1,17,2015,11,1,18,Sunday
19,1,20,2015,11,1,19,Sunday
20,1,17,2015,11,1,20,Sunday
21,1,19,2015,11,1,21,Sunday
22,1,20,2015,11,1,22,Sunday
23,1,15,2015,11,1,23,Sunday
24,1,14,2015,11,2,0,Monday
25,1,12,2015,11,2,1,Monday
26,1,14,2015,11,2,2,Monday
27,1,12,2015,11,2,3,Monday
28,1,12,2015,11,2,4,Monday
29,1,11,2015,11,2,5,Monday
30,1,13,2015,11,2,6,Monday
31,1,14,2015,11,2,7,Monday
32,1,12,2015,11,2,8,Monday
33,1,22,2015,11,2,9,Monday
34,1,32,2015,11,2,10,Monday
35,1,31,2015,11,2,11,Monday
36,1,35,2015,11,2,12,Monday
37,1,26,2015,11,2,13,Monday
38,1,34,2015,11,2,14,Monday
39,1,30,2015,11,2,15,Monday
40,1,27,2015,11,2,16,Monday
41,1,27,2015,11,2,17,Monday
42,1,24,2015,11,2,18,Monday
43,1,26,2015,11,2,19,Monday
44,1,29,2015,11,2,20,Monday
45,1,32,2015,11,2,21,Monday
46,1,30,2015,11,2,22,Monday
47,1,27,2015,11,2,23,Monday
48,1,21,2015,11,3,0,Tuesday
49,1,18,2015,11,3,1,Tuesday
50,1,19,2015,11,3,2,Tuesday
51,1,13,2015,11,3,3,Tuesday
52,1,11,2015,11,3,4,Tuesday
53,1,11,2015,11,3,5,Tuesday
54,1,11,2015,11,3,6,Tuesday
55,1,14,2015,11,3,7,Tuesday
56,1,15,2015,11,3,8,Tuesday
57,1,29,2015,11,3,9,Tuesday
58,1,33,2015,11,3,10,Tuesday
59,1,32,2015,11,3,11,Tuesday
60,1,32,2015,11,3,12,Tuesday
61,1,29,2015,11,3,13,Tuesday
62,1,27,2015,11,3,14,Tuesday
63,1,26,2015,11,3,15,Tuesday
64,1,28,2015,11,3,16,Tuesday
65,1,26,2015,11,3,17,Tuesday
66,1,25,2015,11,3,18,Tuesday
67,1,29,2015,11,3,19,Tuesday
68,1,26,2015,11,3,20,Tuesday
69,1,24,2015,11,3,21,Tuesday
70,1,25,2015,11,3,22,Tuesday
71,1,20,2015,11,3,23,Tuesday
72,1,18,2015,11,4,0,Wednesday
73,1,18,2015,11,4,1,Wednesday
74,1,13,2015,11,4,2,Wednesday
75,1,13,2015,11,4,3,Wednesday
76,1,10,2015,11,4,4,Wednesday
77,1,12,2015,11,4,5,Wednesday
78,1,13,2015,11,4,6,Wednesday
79,1,11,2015,11,4,7,Wednesday
80,1,13,2015,11,4,8,Wednesday
81,1,22,2015,11,4,9,Wednesday
82,1,26,2015,11,4,10,Wednesday
83,1,27,2015,11,4,11,Wednesday
84,1,31,2015,11,4,12,Wednesday
85,1,24,2015,11,4,13,Wednesday
